"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1366,"NCT04371302","Nursing Perspective on Burnout and Medical Errors in the Intensive Care Unit During Covid-19 Pandemic",,"Not yet recruiting","No Results Available","Burnout, Professional|Medical Errors|Depression","Diagnostic Test: Questionnaire","Prevalence of burnout among ICU nurses during Covid-19|Prevalence of depression among ICU nurses during Covid-19|Prevalence of self-perceived medical errors among ICU nurses during Covid-19|Association of burnout, depression and medical errors among anaesthesiology clinicians during Covid-19","University of Malaya","All","18 Years and older   (Adult, Older Adult)",,"145","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","54843","May 1, 2020","June 30, 2020","June 30, 2020","May 1, 2020",,"May 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04371302"
1367,"NCT04375748","Hospital Registry of Acute Myocarditis: Evolution of the Proportion of Positive SARS-COV-2 (COVID19) Cases","MYOCOVID","Recruiting","No Results Available","Acute Myocarditis","Diagnostic Test: Performing routine care (clinical and paraclinical tests)|Diagnostic Test: Examinations for the research:","Evolution of the proportion of positive SARS-COV-2 cases.|Ultrasound characteristics.|Assess prognosis of the acute myocarditis .|The factors associated with acute myocarditis cases .|Biological characteristics|Describe at the admission and during the treatment cardiac MRI parameters","University Hospital, Toulouse","All","Child, Adult, Older Adult",,"400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RC31/20/0139","April 15, 2020","October 15, 2021","October 15, 2021","May 5, 2020",,"May 5, 2020","CHU de TOULOUSE, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT04375748"
1368,"NCT04393792","SINUS WASH Pilot Study in Adults Testing Positive for COVID-19",,"Recruiting","No Results Available","Coronavirus Infection","Drug: Povidone-Iodine|Drug: Normal saline","Change in viral load in the oral and nasopharyngeal cavity|Symptom severity in primary participants and co-residents","Hampshire Hospitals NHS Foundation Trust","All","18 Years and older   (Adult, Older Adult)","Phase 1","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SPON-AK-0420|2020-001721-31","May 2020","August 2020","August 2020","May 19, 2020",,"May 19, 2020","Hampshire Hospitals NHS Foundation Trust, Basingstoke, Hampshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04393792"
1369,"NCT04377776","Observational Study Concerning COVID-19 Infection in Transplanted Kidney, Pancreas or Pancreatic Islet Patients",,"Recruiting","No Results Available","Kidney Transplant|Pancreas Tranplant|Pancreatic Islet Transplantation","Other: Practice details","Global Prevalence of COVID-19 TX|Hospitalization rate in COVID-19 TX|Correlation COVID-19 TX and type of transplantation|Prevalence of COVID-19 TX in italian provinces|Symptoms in COVID-19 TX|Correlation COVID-19 TX and comorbidities|COVID-19 TX Therapies|COVID-19 TX in family settings","IRCCS San Raffaele","All","18 Years to 90 Years   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","COVID-19 MITRA","May 4, 2020","May 18, 2020","May 18, 2020","May 6, 2020",,"May 6, 2020","IRCCS San Raffaele, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04377776"
1370,"NCT04327388","Sarilumab COVID-19",,"Recruiting","No Results Available","Corona Virus Infection","Drug: Sarilumab SAR153191|Drug: Placebo","Time to improvement of 2 points in clinical status assessment from baseline using the 7-point ordinal scale|Percent of patients alive at Day 29|Proportion of patients with one point improvement from baseline in clinical status assessment at days 4, 7, 15, 21, 29 using the 7-point ordinal scale|Mean change in the 7-point ordinal scale from baseline to Days 4, 7, 15, 21, and 29 (or until discharge)|Time to resolution of fever|Time to resolution of fever and improvement in oxygenation|Days with fever|Time to change in NEWS2 from baseline|Time to NEWS2 of <2 and maintained for 24 hours|Mean change from baseline to days 4, 7, 15, 21, and 29 in NEWS2|Time-to-improvement in oxygenation|Alive off supplemental oxygen at day 29|Days of hypoxemia|Days of supplemental oxygen use|Days of resting respiratory rate >24 breaths/min|Time to saturation ≥94% on room air|Ventilator free days in the first 28 days (to day 29)|The number of patients with Initiation of mechanical ventilation, non-invasive ventilation, or use of high flow nasal cannula|Proportion of patients requiring rescue medication during the 28-day period|The number of patients transferred to the ICU or the need to transfer to the ICU (if the ICU is not available)|Days of hospitalization among survivors|Incidence of serious adverse events|The incidence of major or opportunistic bacterial or fungal infections|The incidence of major or opportunistic bacterial or fungal infections in patients with grade 4 neutropenia|The incidence of hypersensitivity reactions, infusion reactions, gastrointestinal perforation|The number of patients with clinically significant laboratory abnormalities","Sanofi|Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 3","400","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","EFC16844|2020-001162-12","March 28, 2020","July 2020","August 2020","March 31, 2020",,"May 18, 2020","Investigational Site Number 1240001, Montreal, Canada|Investigational Site Number 1240002, Toronto, Canada|Investigational Site Number 1240003, Vancouver, Canada|Investigational Site Number 2500001, Bordeaux Cedex, France|Investigational Site Number 2500007, Clamart, France|Investigational Site Number 2500006, La Roche Sur Yon Cedex 9, France|Investigational Site Number 2500002, Nantes, France|Investigational Site Number 2500005, Paris Cedex 18, France|Investigational Site Number 2500003, Strasbourg, France|Investigational Site Number 2500004, Suresnes, France|Investigational Site Number 2760003, Bonn, Germany|Investigational Site Number 2760006, Braunschweig, Germany|Investigational Site Number 2760002, Essen, Germany|Investigational Site Number 2760004, Köln, Germany|Investigational Site Number 2760001, Münster, Germany|Investigational Site Number 3760003, Ashdod, Israel|Investigational Site Number 3760002, Jerusalem, Israel|Investigational Site Number 3760001, Ramat Gan, Israel|Investigational Site Number 3800005, Milano, Italy|Investigational Site Number 3800001, Milano, Italy|Investigational Site Number 3800002, Milano, Italy|Investigational Site Number 3800003, Modena, Italy|Investigational Site Number 3800004, Parma, Italy|Investigational Site Number 3800006, Rozzano, Italy|Investigational Site Number 3920002, Fuchu-Shi, Japan|Investigational Site Number 3920001, Kamakura-Shi, Japan|Investigational Site Number 6430003, Moscow, Russian Federation|Investigational Site Number 6430002, Moscow, Russian Federation|Investigational Site Number 6430001, Moscow, Russian Federation|Investigational Site Number 7240003, Barcelona, Spain|Investigational Site Number 7240004, Barcelona, Spain|Investigational Site Number 7240002, Madrid, Spain|Investigational Site Number 7240005, Madrid, Spain|Investigational Site Number 7240001, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04327388"
1371,"NCT04371419","COVID-19 Health Messaging to Underserved Communities",,"Recruiting","No Results Available","Coronavirus","Behavioral: Messaging","Knowledge Beliefs and Practices related to COVID-19","National Bureau of Economic Research, Inc.|Massachusetts General Hospital|Stanford University|Yale University|Massachusetts Institute of Technology|Harvard University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","15000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2003000118","May 13, 2020","May 31, 2021","June 30, 2021","May 1, 2020",,"May 18, 2020","JPAL North America, Cambridge, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04371419"
1372,"NCT04326387","Evaluation of Novel Diagnostic Tests for COVID-19","COVIDx","Recruiting","No Results Available","Acute Disease|Coronavirus|Respiratory Viral Infection","Diagnostic Test: SAMBA II (Diagnostic for the Real World)|Diagnostic Test: Public Health England Gold Standard|Diagnostic Test: Cambridge Validated Viral Detection Method|Diagnostic Test: Radiological Detection","SAMBA COVID-19 POC PCR Test|Patient acceptability|Immune Response Positivity","CCTU- Cancer Theme|Cambridge University Hospitals NHS Foundation Trust","All","16 Years and older   (Child, Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVIDx","April 6, 2020","April 7, 2021","October 7, 2021","March 30, 2020",,"May 18, 2020","Cambridge University Hospitals NHS Foundation Trust, Cambridge, Cambridgeshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04326387"
1373,"NCT04390126","COVID-19 Related Lockdown Effects On Chronic Diseases","CLEO-CD","Active, not recruiting","No Results Available","Chronic Coronary Syndrome|Heart Failure|AMD and Macular Edema|Chronic Respiratory Failure|Hemophilia|Malignant Hemopathy|Multiple Sclerosis|Horton's Disease","Other: life questionnaires|Other: questionnaire","% adherence to each pharmacological class|number of occurrence of medical events at 1 year|Expressed in %: Non-pharmacological treatment/lifestyle:|Expressed in %: Difficulties accessing care: medical appointments, prescriptions, medication|Measurement of psychological distress: Kessler's specific questionnaire (score between 0 and 24)","Centre Hospitalier Universitaire Dijon","All","18 Years and older   (Adult, Older Adult)",,"1200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","BOULIN AOIc 2020","April 20, 2020","May 7, 2021","November 7, 2021","May 15, 2020",,"May 18, 2020","CHU Dijon Bourgogne, Dijon, France",,"https://ClinicalTrials.gov/show/NCT04390126"
1374,"NCT04324463","Anti-Coronavirus Therapies to Prevent Progression of Coronavirus Disease 2019 (COVID-19) Trial","ACT COVID19","Recruiting","No Results Available","Coronavirus|Severe Acute Respiratory Syndrome","Drug: Azithromycin|Drug: Hydoxychloroquine or Chloroquine|Drug: Interferon-Beta","Outpatients: Hospital Admission or Death|Inpatients: Invasive mechanical ventilation or mortality","Population Health Research Institute|Bayer","All","18 Years and older   (Adult, Older Adult)","Phase 3","1500","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PHRI.ACT.COVID19","April 21, 2020","September 30, 2020","December 31, 2020","March 27, 2020",,"April 24, 2020","Hamilton Health Sciences, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04324463"
1375,"NCT04365608","Prehospital Intubation of COVID-19 Patient With Personal Protective Equipment",,"Recruiting","No Results Available","Intubation Complication|Intubation; Difficult or Failed|Cardiac Arrest|Influenza|Safety Issues","Procedure: Direct laryngoscopy|Procedure: Vie Scope laryngoscopy","Intubation success rate during at the first laryngoscopy|Intubation difficulty Scale score|Complications related to tracheal intubation|Time to completion of tracheal intubation (TI) procedure|Duration of the interruption of chest compression during ETI procedure|Laryngeal View during intubation|POGO score","Lazarski University|Poznan University of Medical Sciences|Wroclaw Medical University|Medical University of Bialystok","All","18 Years and older   (Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","INT_EMS_PPE_1","March 20, 2020","May 20, 2020","May 20, 2020","April 28, 2020",,"April 29, 2020","Emergency Medical Service, Poznan, Poland|Emergency Medical Service, Warsaw, Poland",,"https://ClinicalTrials.gov/show/NCT04365608"
1376,"NCT04288713","Eculizumab (Soliris) in Covid-19 Infected Patients","SOLID-C19","Available","No Results Available","Coronavirus","Drug: Eculizumab",,"Hudson Medical","All","18 Years and older   (Adult, Older Adult)",,,"Other","Expanded Access:Individual Patients|Treatment IND/Protocol",,"COVID19",,,,"February 28, 2020",,"March 30, 2020",,,"https://ClinicalTrials.gov/show/NCT04288713"
1377,"NCT04379544","Prognostic Value of Point of Care Cardiac and Lung Ultrasound in COVID-19","CLUSCO","Recruiting","No Results Available","Coronavirus|Respiratory Failure","Other: Observation only","Patient requires invasive mechanical ventilation and suffers from acute respiratory failure.|Patient is discharged|Patient is hospitalized, but does not require mechanical ventilation through the duration of hospital stay.|Lung ultrasound findings|Cardiac ultrasound findings","University of Pennsylvania","All","18 Years and older   (Adult, Older Adult)",,"105","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","843008","April 23, 2020","December 2020","December 2020","May 7, 2020",,"May 11, 2020","University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04379544"
